Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
15,25,Female,Tie,Clothing,90,Washington,M,Violet,Fall,3.3,Yes,International Shipping,No,No,46,Credit Card,Weekly
16,24,Female,Vest,Footwear,69,West Virginia,M,Indigo,Spring,1.4,Yes,International Shipping,No,No,21,Cash,Bi-Weekly
17,32,Male,Swimsuit,Clothing,27,Kansas,S,Cyan,Summer,2.3,No,Free Shipping,No,Yes,61,Credit Card,Annually
18,57,Male,Sunglasses,Clothing,65,Oklahoma,XL,Green,Winter,3.7,Yes,Same Day Delivery,No,No,40,PayPal,Weekly
19,29,Female,Flip-flops,Footwear,68,Iowa,S,Yellow,Fall,2.7,No,Standard,No,Yes,91,Cryptocurrency,Annually
20,48,Male,Boots,Clothing,75,Minnesota,XL,Violet,Spring,1.2,Yes,Same Day Delivery,Yes,No,3,Credit Card,Bi-Weekly
21,43,Male,Sneakers,Accessories,65,Pennsylvania,XL,Magenta,Summer,3.0,No,Standard,No,Yes,81,Cryptocurrency,Annually
22,64,Female,Jacket,Footwear,61,Wyoming,L,Lavender,Spring,3.4,No,2-Day Shipping,No,No,78,PayPal,Bi-Weekly
23,36,Male,Sneakers,Footwear,49,New Hampshire,L,Olive,Summer,3.0,No,Standard,No,Yes,28,Debit Card,Every 3 Months
24,58,Male,Boots,Clothing,56,Michigan,S,Maroon,Spring,2.5,No,Standard,No,No,20,Cash,Every 3 Months
25,52,Male,Necklace,Clothing,89,Washington,XL,Peach,Fall,3.9,No,Overnight Shipping,No,No,6,Cash,Fortnightly
26,35,Female,Shorts,Outerwear,31,Rhode Island,L,Magenta,Summer,2.4,Yes,Standard,Yes,Yes,25,Debit Card,Bi-Weekly
27,52,Female,Sneakers,Outerwear,36,California,S,Brown,Winter,5.0,Yes,Free Shipping,Yes,No,31,Debit Card,Annually
28,32,Female,T-shirt,Footwear,61,Illinois,M,Black,Summer,3.2,Yes,Standard,No,Yes,53,PayPal,Annually
29,21,Male,T-shirt,Outerwear,74,New Jersey,S,Magenta,Spring,1.9,Yes,Standard,Yes,No,99,Bank Transfer,Quarterly
30,35,Male,Necklace,Outerwear,81,Oklahoma,S,Teal,Spring,3.4,No,Next Day Air,No,Yes,47,Bank Transfer,Monthly
31,33,Female,Sunglasses,Outerwear,51,Texas,L,Magenta,Spring,1.2,Yes,2-Day Shipping,No,Yes,26,Debit Card,Quarterly
32,66,Male,Handbag,Footwear,85,Nevada,XL,Green,Summer,3.7,No,Express,Yes,No,30,Cash,Bi-Weekly
33,26,Male,Dress,Outerwear,58,Arizona,L,Turquoise,Summer,2.5,No,Express,Yes,No,60,Credit Card,Weekly
34,35,Male,Coat,Footwear,21,Maryland,M,Turquoise,Fall,4.1,No,Free Shipping,Yes,Yes,12,Bank Transfer,Every 3 Months
35,25,Male,Blouse,Footwear,30,Indiana,XL,Peach,Spring,3.8,No,2-Day Shipping,Yes,No,82,Bank Transfer,Every 3 Months
36,53,Male,Bracelet,Accessories,35,Utah,XL,Gray,Summer,2.4,No,Next Day Air,Yes,Yes,81,PayPal,Weekly
37,39,Male,Gloves,Outerwear,32,Arkansas,S,Purple,Summer,1.6,No,Same Day Delivery,Yes,No,34,Credit Card,Weekly
38,58,Male,Jewelry,Accessories,22,New Hampshire,XL,Brown,Fall,4.1,Yes,Standard,Yes,No,25,PayPal,Quarterly
39,43,Male,Swimsuit,Clothing,94,Alaska,S,Peach,Fall,4.4,Yes,Standard,Yes,Yes,49,Cryptocurrency,Annually
40,20,Female,Jeans,Footwear,78,Montana,M,Green,Winter,1.6,No,Overnight Shipping,Yes,Yes,98,Cryptocurrency,Annually
41,39,Male,Skirt,Clothing,80,Alaska,M,Charcoal,Winter,4.3,Yes,Overnight Shipping,Yes,Yes,64,Bank Transfer,Weekly
42,25,Male,Boots,Footwear,51,Idaho,L,Magenta,Spring,1.8,Yes,Standard,Yes,No,23,Cryptocurrency,Quarterly
43,38,Female,Boots,Outerwear,96,North Carolina,XL,Gold,Summer,3.4,Yes,Free Shipping,No,Yes,94,Bank Transfer,Bi-Weekly
44,64,Female,Belt,Outerwear,62,Maine,L,Violet,Spring,2.6,Yes,Express,Yes,No,34,Cryptocurrency,Quarterly
45,42,Male,Sweater,Accessories,70,Texas,S,Lavender,Summer,3.5,No,Free Shipping,No,No,98,Cash,Every 3 Months
46,61,Male,Overalls,Outerwear,37,Missouri,L,Silver,Winter,4.2,Yes,Standard,No,Yes,65,PayPal,Monthly
47,32,Male,Jeans,Outerwear,76,South Dakota,M,Olive,Fall,4.4,Yes,International Shipping,Yes,No,99,Debit Card,Fortnightly
48,62,Male,Tracksuit,Accessories,89,Oklahoma,S,Indigo,Spring,1.7,No,Free Shipping,No,No,39,Cash,Quarterly
49,62,Male,Gloves,Accessories,46,Montana,L,Peach,Summer,4.3,No,Next Day Air,No,No,75,Bank Transfer,Weekly
50,19,Male,Coat,Outerwear,79,Tennessee,XL,Yellow,Fall,3.8,Yes,Next Day Air,No,No,32,Cryptocurrency,Fortnightly
51,30,Female,Vest,Clothing,89,South Carolina,L,Olive,Winter,3.5,No,International Shipping,No,Yes,16,Credit Card,Fortnightly
52,27,Female,Sneakers,Clothing,53,Kentucky,S,Yellow,Winter,4.7,Yes,Free Shipping,No,Yes,31,Cryptocurrency,Fortnightly
53,40,Female,Tracksuit,Footwear,80,Iowa,M,Olive,Summer,4.2,Yes,Next Day Air,Yes,No,92,Bank Transfer,Weekly
54,32,Female,Sandals,Accessories,93,Texas,S,White,Summer,2.0,Yes,Next Day Air,No,Yes,18,Cash,Weekly
55,58,Female,Skirt,Accessories,39,Wisconsin,XL,Beige,Winter,1.0,No,2-Day Shipping,No,No,81,Cash,Every 3 Months
56,41,Female,Earrings,Accessories,75,Arizona,L,Magenta,Summer,1.2,Yes,Standard,Yes,Yes,10,Credit Card,Every 3 Months
57,45,Male,T-shirt,Clothing,53,Hawaii,S,Gray,Winter,1.5,No,Same Day Delivery,No,No,95,Debit Card,Bi-Weekly
58,65,Male,Vest,Clothing,70,Alabama,M,Cyan,Spring,4.2,Yes,Overnight Shipping,Yes,No,61,Credit Card,Every 3 Months
59,18,Female,Sunglasses,Accessories,86,Washington,L,Cyan,Winter,1.5,No,Express,No,No,40,PayPal,Quarterly
60,43,Female,Shoes,Clothing,79,South Dakota,XL,Purple,Fall,3.6,No,Express,Yes,No,17,Cryptocurrency,Fortnightly
61,37,Female,Flip-flops,Footwear,92,Indiana,XL,Yellow,Summer,1.0,No,Express,No,No,26,PayPal,Weekly
62,62,Female,Shirt,Footwear,68,Minnesota,M,Gray,Spring,3.4,No,Standard,No,No,31,PayPal,Weekly
63,29,Male,Coat,Accessories,72,Texas,S,Teal,Summer,1.4,No,Standard,No,No,21,Bank Transfer,Annually
64,56,Female,Dress,Clothing,23,New Jersey,S,Gold,Fall,3.0,No,Standard,Yes,No,33,Credit Card,Weekly
65,64,Female,Raincoat,Outerwear,25,South Carolina,XL,Charcoal,Winter,1.8,No,Standard,No,No,99,Credit Card,Every 3 Months
66,41,Female,Scarf,Footwear,57,Michigan,L,Gold,Spring,1.7,Yes,Next Day Air,Yes,Yes,40,Credit Card,Weekly
67,61,Male,Cardigan,Outerwear,44,South Carolina,L,White,Winter,1.0,No,Overnight Shipping,Yes,Yes,69,Debit Card,Quarterly
68,70,Female,Bracelet,Outerwear,36,Alabama,M,Red,Winter,3.3,Yes,Next Day Air,Yes,No,11,Debit Card,Quarterly
69,63,Female,Loafers,Footwear,21,Virginia,XL,Orange,Winter,2.7,No,Same Day Delivery,Yes,Yes,59,Bank Transfer,Quarterly
70,35,Female,Backpack,Accessories,29,Nebraska,XL,Green,Summer,2.3,No,Free Shipping,Yes,Yes,20,Credit Card,Monthly
71,66,Female,Swimsuit,Outerwear,45,New Mexico,S,Yellow,Spring,2.3,Yes,Standard,No,Yes,33,Bank Transfer,Quarterly
72,19,Male,Dress,Outerwear,91,Connecticut,L,Black,Fall,1.3,Yes,Overnight Shipping,No,No,57,Bank Transfer,Every 3 Months
73,25,Female,Windbreaker,Clothing,81,Wisconsin,XL,Orange,Winter,1.7,Yes,Free Shipping,Yes,No,90,PayPal,Fortnightly
74,56,Male,Hoodie,Clothing,79,Florida,XL,Black,Winter,4.2,Yes,Standard,No,Yes,15,Venmo,Fortnightly
75,26,Male,Sneakers,Clothing,56,Massachusetts,XL,Beige,Summer,1.7,Yes,Express,No,Yes,74,Debit Card,Weekly
76,20,Female,Earrings,Outerwear,43,Washington,S,Pink,Spring,2.6,Yes,2-Day Shipping,No,Yes,3,Debit Card,Weekly
77,58,Female,Jacket,Footwear,20,North Carolina,S,Gray,Fall,1.4,Yes,Overnight Shipping,Yes,No,88,Cryptocurrency,Monthly
78,58,Male,Windbreaker,Outerwear,34,Kentucky,M,Purple,Spring,2.4,No,Standard,No,No,82,PayPal,Weekly
79,60,Male,Shirt,Accessories,42,Illinois,XL,Black,Summer,3.4,Yes,2-Day Shipping,Yes,Yes,84,PayPal,Weekly
80,54,Male,Hat,Accessories,83,Indiana,S,Gray,Winter,1.6,No,Store Pickup,Yes,No,0,Bank Transfer,Quarterly
81,45,Male,Backpack,Accessories,46,Vermont,L,Charcoal,Winter,3.0,No,2-Day Shipping,No,Yes,21,Debit Card,Weekly
82,21,Female,Pants,Clothing,44,Florida,XL,Cyan,Fall,1.6,No,Same Day Delivery,Yes,No,50,Debit Card,Quarterly
83,35,Male,Socks,Clothing,31,New Jersey,XL,Gray,Summer,4.7,Yes,Free Shipping,No,Yes,58,Cash,Monthly
84,50,Male,Shorts,Footwear,88,New Mexico,M,Gray,Winter,3.5,Yes,International Shipping,Yes,No,6,Venmo,Fortnightly
85,25,Male,Sunglasses,Outerwear,34,Tennessee,M,Olive,Fall,3.4,No,Standard,No,Yes,41,Debit Card,Quarterly
86,70,Female,Skirt,Outerwear,55,Idaho,L,Blue,Winter,4.7,Yes,Standard,No,No,53,Cryptocurrency,Every 3 Months
87,38,Female,Pants,Footwear,74,Arizona,M,Beige,Summer,1.2,Yes,Express,No,Yes,87,Cryptocurrency,Monthly
88,20,Female,Flip-flops,Accessories,99,Florida,XL,Beige,Summer,2.7,Yes,Free Shipping,No,No,16,Bank Transfer,Bi-Weekly
89,67,Female,Vest,Footwear,29,Illinois,XL,Peach,Fall,3.1,Yes,Express,Yes,No,86,PayPal,Weekly
90,54,Female,Coat,Clothing,87,Alabama,M,Pink,Summer,1.1,No,Overnight Shipping,No,No,17,Venmo,Fortnightly
91,59,Female,Raincoat,Accessories,72,Maine,XL,Lavender,Winter,3.9,No,2-Day Shipping,Yes,Yes,35,Credit Card,Every 3 Months
92,69,Female,Bracelet,Clothing,92,Washington,S,Peach,Winter,4.9,Yes,Standard,Yes,No,76,Bank Transfer,Quarterly
93,30,Female,Bracelet,Clothing,85,Missouri,M,Purple,Winter,4.4,No,2-Day Shipping,No,Yes,46,Debit Card,Quarterly
94,25,Female,Watch,Footwear,23,Idaho,M,White,Summer,4.9,No,Express,Yes,No,3,Venmo,Every 3 Months
95,45,Male,Raincoat,Clothing,61,California,S,Cyan,Fall,2.5,No,Same Day Delivery,Yes,Yes,90,Venmo,Bi-Weekly
96,25,Male,Cufflinks,Clothing,23,New Hampshire,M,Turquoise,Winter,1.3,No,Free Shipping,No,No,56,Credit Card,Weekly
97,38,Female,Gloves,Accessories,64,Mississippi,M,White,Fall,1.9,No,Express,No,Yes,34,Cryptocurrency,Weekly
98,20,Female,Tracksuit,Footwear,26,Delaware,M,Pink,Winter,2.8,No,2-Day Shipping,No,No,40,Debit Card,Every 3 Months
99,50,Female,Bracelet,Outerwear,96,Oregon,XL,White,Winter,3.3,No,Standard,Yes,No,45,Cryptocurrency,Quarterly
100,65,Female,Gloves,Footwear,63,Montana,S,Gold,Spring,2.2,Yes,Free Shipping,Yes,Yes,22,Credit Card,Monthly
101,70,Male,Sweater,Clothing,64,Mississippi,S,Brown,Summer,2.0,Yes,Standard,Yes,No,64,Debit Card,Annually
102,66,Male,Vest,Accessories,63,Kansas,S,Purple,Fall,1.0,No,Express,Yes,Yes,7,Cryptocurrency,Every 3 Months
103,28,Male,Shorts,Clothing,72,Louisiana,XL,Lavender,Spring,1.9,Yes,Next Day Air,Yes,No,91,Cash,Every 3 Months
104,42,Female,Sunglasses,Outerwear,87,Illinois,M,Yellow,Summer,3.1,Yes,2-Day Shipping,Yes,No,22,Venmo,Weekly
105,33,Female,Gloves,Footwear,31,Minnesota,S,Peach,Spring,4.5,No,Store Pickup,Yes,No,92,PayPal,Every 3 Months
106,45,Female,Sunglasses,Footwear,38,Kansas,XL,Indigo,Summer,2.0,Yes,Next Day Air,No,Yes,20,PayPal,Monthly
107,59,Female,Raincoat,Clothing,97,Kentucky,M,Teal,Summer,2.6,No,Next Day Air,Yes,No,6,Credit Card,Fortnightly
108,27,Female,Jeans,Clothing,37,Arkansas,S,Orange,Spring,4.3,No,Same Day Delivery,Yes,Yes,77,Cash,Every 3 Months
109,29,Male,Watch,Accessories,85,Arkansas,S,Blue,Spring,2.4,Yes,Express,No,Yes,66,Cryptocurrency,Bi-Weekly
110,25,Female,Necklace,Outerwear,44,Wyoming,M,Violet,Winter,1.1,No,Free Shipping,Yes,No,58,Venmo,Quarterly
111,61,Male,Coat,Footwear,47,New Mexico,XL,Cyan,Summer,4.8,Yes,Overnight Shipping,No,Yes,63,Bank Transfer,Quarterly
112,66,Female,Vest,Outerwear,42,New York,S,Beige,Spring,1.8,No,2-Day Shipping,No,Yes,29,Credit Card,Bi-Weekly
113,62,Male,Raincoat,Accessories,24,South Carolina,XL,Charcoal,Fall,3.1,Yes,2-Day Shipping,Yes,No,11,Credit Card,Fortnightly
114,24,Female,Overalls,Accessories,92,Hawaii,L,Indigo,Spring,3.3,No,Overnight Shipping,Yes,No,83,PayPal,Bi-Weekly
115,54,Female,Shoes,Clothing,53,Colorado,L,Teal,Spring,4.7,No,Overnight Shipping,No,No,70,Bank Transfer,Quarterly
116,58,Male,Shoes,Footwear,55,North Carolina,M,Indigo,Winter,3.7,No,Express,No,Yes,9,Cryptocurrency,Quarterly
117,21,Male,Sweater,Accessories,46,Kansas,S,Lavender,Summer,4.6,No,International Shipping,No,No,70,PayPal,Quarterly
118,25,Female,Windbreaker,Clothing,40,Louisiana,M,Lavender,Spring,4.8,Yes,Next Day Air,Yes,Yes,99,Cryptocurrency,Weekly
119,41,Female,Blouse,Accessories,68,Connecticut,M,Cyan,Spring,2.1,No,Next Day Air,No,No,14,Cash,Bi-Weekly
120,67,Female,Cap,Outerwear,66,Mississippi,S,Magenta,Summer,2.5,Yes,Standard,No,No,50,Venmo,Bi-Weekly
121,28,Male,Raincoat,Outerwear,71,Arizona,L,Gray,Spring,4.4,Yes,Free Shipping,Yes,No,19,Venmo,Quarterly
122,50,Male,Sneakers,Footwear,90,Arkansas,S,White,Winter,2.6,No,Free Shipping,Yes,No,25,Venmo,Monthly
123,39,Female,Tie,Accessories,86,New Jersey,L,Lavender,Winter,2.9,Yes,Free Shipping,No,Yes,89,PayPal,Every 3 Months
124,20,Female,Swimsuit,Outerwear,82,Colorado,XL,Purple,Winter,1.9,No,Express,Yes,Yes,67,PayPal,Quarterly
125,32,Female,Raincoat,Footwear,40,South Dakota,S,Peach,Fall,2.7,No,International Shipping,No,No,10,PayPal,Monthly
126,38,Male,Scarf,Clothing,94,Hawaii,S,Gray,Summer,1.1,No,Next Day Air,Yes,Yes,39,Credit Card,Weekly
127,21,Female,Tie,Outerwear,86,Mississippi,S,Blue,Winter,3.6,No,Same Day Delivery,Yes,Yes,13,Cash,Monthly
128,51,Female,Jeans,Outerwear,55,Louisiana,L,Violet,Winter,1.6,No,Store Pickup,Yes,Yes,91,Cash,Quarterly
129,55,Female,Jewelry,Accessories,68,Hawaii,S,Silver,Spring,2.1,Yes,2-Day Shipping,Yes,No,32,PayPal,Monthly
130,22,Male,Cardigan,Clothing,91,Nevada,XL,Pink,Winter,2.4,Yes,Same Day Delivery,No,No,62,Debit Card,Quarterly
131,62,Male,Jacket,Outerwear,51,Montana,S,Violet,Winter,3.6,No,International Shipping,No,No,23,Venmo,Weekly
132,50,Male,Tie,Outerwear,98,Delaware,L,Orange,Spring,1.9,Yes,Overnight Shipping,No,Yes,33,Credit Card,Quarterly
133,58,Female,T-shirt,Clothing,74,California,M,Peach,Spring,2.5,No,International Shipping,Yes,No,17,Cryptocurrency,Monthly
134,47,Male,Sandals,Accessories,26,Texas,XL,Black,Fall,2.2,Yes,Same Day Delivery,No,No,61,Cryptocurrency,Annually
135,20,Male,Pants,Footwear,53,Missouri,XL,Cyan,Summer,4.5,No,International Shipping,Yes,No,6,Cryptocurrency,Annually
136,28,Male,Earrings,Outerwear,31,Maryland,L,Teal,Winter,3.0,Yes,Store Pickup,Yes,No,15,Debit Card,Every 3 Months
137,35,Female,Swimsuit,Footwear,25,Indiana,M,Peach,Summer,4.3,Yes,Same Day Delivery,Yes,No,90,Venmo,Bi-Weekly
138,47,Male,Flip-flops,Accessories,48,West Virginia,M,Teal,Winter,4.8,Yes,Standard,Yes,No,94,Bank Transfer,Bi-Weekly
139,59,Male,Coat,Outerwear,49,Georgia,M,Charcoal,Summer,1.9,No,Express,No,Yes,5,Cryptocurrency,Monthly
140,25,Female,Flip-flops,Accessories,82,North Carolina,S,Teal,Summer,1.9,No,Store Pickup,No,No,31,Cash,Bi-Weekly
141,56,Male,Sandals,Outerwear,63,California,L,Olive,Fall,3.0,Yes,Free Shipping,Yes,Yes,19,Cryptocurrency,Quarterly
142,25,Female,Watch,Footwear,89,Idaho,L,Indigo,Summer,4.8,Yes,Store Pickup,No,No,95,Venmo,Quarterly
143,30,Female,Overalls,Clothing,81,Hawaii,S,Yellow,Summer,3.2,No,Store Pickup,Yes,No,55,Credit Card,Every 3 Months
144,59,Male,Boots,Footwear,67,Washington,L,Purple,Winter,4.6,Yes,2-Day Shipping,No,No,9,Credit Card,Weekly
145,27,Female,Jeans,Accessories,75,Maine,M,Red,Spring,2.5,Yes,Same Day Delivery,No,No,37,Cryptocurrency,Weekly
146,57,Male,Blouse,Clothing,29,Colorado,XL,Red,Summer,4.0,Yes,Express,No,No,12,Bank Transfer,Weekly
147,19,Male,Cardigan,Footwear,49,Pennsylvania,XL,Beige,Fall,2.9,No,Standard,No,Yes,98,PayPal,Bi-Weekly
148,41,Female,Cap,Outerwear,43,Delaware,S,Magenta,Fall,1.2,Yes,Next Day Air,No,Yes,51,Cash,Quarterly
149,28,Female,Jeans,Accessories,87,Rhode Island,M,Gray,Winter,3.9,No,International Shipping,No,Yes,26,Cryptocurrency,Annually
150,62,Female,Backpack,Accessories,38,Colorado,L,Gold,Fall,3.1,No,Standard,No,Yes,25,Venmo,Bi-Weekly
151,67,Male,Shoes,Accessories,88,West Virginia,M,Red,Fall,1.1,No,International Shipping,Yes,No,87,Cryptocurrency,Weekly
152,36,Male,Handbag,Footwear,29,Kentucky,S,Turquoise,Winter,2.2,Yes,Express,Yes,Yes,76,Cash,Fortnightly
153,25,Female,T-shirt,Clothing,70,Virginia,XL,Blue,Fall,1.2,Yes,Next Day Air,No,Yes,45,Cash,Monthly
154,62,Female,Jeans,Clothing,21,North Carolina,S,Indigo,Fall,4.7,No,Express,Yes,No,58,Debit Card,Monthly
155,66,Male,Coat,Outerwear,35,Montana,M,Charcoal,Fall,2.7,Yes,Store Pickup,Yes,No,47,Debit Card,Weekly
156,54,Female,Cufflinks,Clothing,97,Massachusetts,L,Indigo,Winter,1.8,No,2-Day Shipping,No,Yes,26,Credit Card,Weekly
157,37,Female,Jacket,Clothing,21,New York,M,Charcoal,Spring,4.5,Yes,Next Day Air,No,No,38,Venmo,Weekly
158,30,Male,Loafers,Accessories,94,Washington,L,Beige,Fall,3.2,No,2-Day Shipping,Yes,No,25,Cryptocurrency,Bi-Weekly
159,34,Male,Coat,Footwear,59,New Hampshire,XL,Red,Spring,5.0,No,Free Shipping,No,No,9,Cryptocurrency,Fortnightly
160,27,Female,Cufflinks,Accessories,63,Maryland,L,Beige,Spring,3.8,Yes,Overnight Shipping,No,Yes,55,Credit Card,Fortnightly
161,30,Male,Raincoat,Outerwear,90,North Dakota,L,Silver,Summer,3.6,Yes,Express,Yes,No,12,Venmo,Monthly
162,37,Female,Vest,Accessories,91,New Jersey,L,Gray,Summer,4.9,Yes,Free Shipping,Yes,Yes,64,Cash,Bi-Weekly
163,65,Male,Raincoat,Accessories,58,California,L,Green,Spring,3.8,No,Express,No,Yes,12,Bank Transfer,Weekly
164,64,Female,Jacket,Outerwear,51,Pennsylvania,M,Indigo,Fall,4.0,No,Standard,No,Yes,79,Venmo,Every 3 Months
165,47,Male,Cardigan,Outerwear,30,Colorado,L,Silver,Summer,1.5,No,Next Day Air,No,Yes,36,Credit Card,Fortnightly
166,42,Male,Windbreaker,Outerwear,35,Louisiana,S,Violet,Winter,2.1,No,Express,Yes,No,5,Bank Transfer,Weekly
167,48,Female,Backpack,Clothing,59,Nevada,M,White,Summer,1.8,Yes,Overnight Shipping,No,Yes,90,Credit Card,Fortnightly
168,61,Female,Sandals,Clothing,34,Kentucky,XL,Orange,Summer,1.5,No,2-Day Shipping,Yes,No,39,Cryptocurrency,Monthly
169,67,Male,Windbreaker,Outerwear,91,Louisiana,XL,Beige,Spring,3.3,Yes,2-Day Shipping,Yes,No,76,Cash,Fortnightly
170,20,Male,Windbreaker,Footwear,66,Tennessee,L,Red,Fall,4.2,Yes,Next Day Air,No,No,36,Cryptocurrency,Every 3 Months
171,38,Male,Cap,Clothing,91,Alaska,M,Indigo,Winter,4.7,Yes,2-Day Shipping,No,No,75,Venmo,Every 3 Months
172,63,Female,Tie,Clothing,94,New Mexico,L,Peach,Summer,3.5,Yes,2-Day Shipping,No,Yes,11,Cash,Monthly
173,68,Male,Sneakers,Clothing,66,Rhode Island,S,Silver,Winter,3.7,Yes,Overnight Shipping,No,No,74,Bank Transfer,Bi-Weekly
174,61,Female,Watch,Clothing,44,Wyoming,S,Cyan,Fall,4.4,No,Standard,Yes,No,28,Venmo,Bi-Weekly
175,22,Male,Skirt,Clothing,57,Illinois,S,Blue,Spring,3.8,Yes,Free Shipping,Yes,Yes,54,PayPal,Bi-Weekly
176,66,Female,Sweater,Accessories,72,California,M,Silver,Summer,4.9,No,Standard,No,No,37,Bank Transfer,Bi-Weekly
177,33,Male,Sunglasses,Outerwear,83,South Carolina,XL,Indigo,Summer,4.9,No,Next Day Air,No,No,74,Cash,Monthly
178,27,Male,Scarf,Footwear,51,Maryland,S,Gray,Summer,2.4,Yes,Next Day Air,No,No,32,Debit Card,Bi-Weekly
179,62,Male,Coat,Accessories,46,Michigan,M,Beige,Winter,2.5,Yes,Free Shipping,No,Yes,50,Debit Card,Annually
180,70,Male,Jacket,Outerwear,42,Nebraska,M,Green,Winter,3.7,Yes,Same Day Delivery,No,Yes,19,PayPal,Fortnightly
181,46,Male,Sneakers,Clothing,33,Nevada,XL,Olive,Winter,1.8,Yes,Express,Yes,Yes,3,Cryptocurrency,Monthly
182,68,Female,Dress,Clothing,39,Hawaii,M,Olive,Winter,3.4,Yes,Same Day Delivery,Yes,Yes,63,Bank Transfer,Bi-Weekly
183,49,Male,Shorts,Footwear,34,West Virginia,S,Beige,Spring,4.4,Yes,Overnight Shipping,Yes,Yes,35,PayPal,Weekly
184,63,Female,Cufflinks,Outerwear,27,Vermont,L,Indigo,Fall,2.0,No,Free Shipping,No,No,47,Credit Card,Fortnightly
185,66,Male,Cardigan,Footwear,98,Arizona,M,Yellow,Summer,1.9,Yes,2-Day Shipping,No,No,37,PayPal,Every 3 Months
186,57,Female,Shirt,Accessories,36,Montana,S,Violet,Spring,3.6,No,Express,No,Yes,35,Cryptocurrency,Every 3 Months
187,56,Female,Vest,Accessories,37,Rhode Island,S,Silver,Winter,1.4,No,International Shipping,Yes,No,43,Cryptocurrency,Every 3 Months
188,60,Female,Belt,Clothing,87,Indiana,L,Black,Spring,1.7,No,Overnight Shipping,No,Yes,60,Debit Card,Fortnightly
189,52,Male,Pants,Clothing,82,New York,XL,Beige,Summer,2.6,No,Free Shipping,Yes,Yes,66,Cash,Bi-Weekly
190,21,Female,Flip-flops,Accessories,97,Kentucky,L,Cyan,Winter,1.8,No,Same Day Delivery,Yes,Yes,84,Credit Card,Bi-Weekly
191,53,Female,Socks,Accessories,85,Arkansas,S,Olive,Fall,1.1,No,2-Day Shipping,No,Yes,75,Cash,Fortnightly
192,44,Male,Loafers,Footwear,22,Arkansas,S,Teal,Fall,2.7,No,Store Pickup,Yes,Yes,63,PayPal,Bi-Weekly
193,69,Female,Necklace,Accessories,45,Maine,M,Gray,Summer,4.2,No,Same Day Delivery,No,No,64,PayPal,Monthly
194,56,Female,Bracelet,Accessories,35,Nebraska,L,Violet,Summer,3.6,No,2-Day Shipping,Yes,Yes,72,Debit Card,Bi-Weekly
195,53,Male,Blouse,Footwear,76,Michigan,XL,Purple,Fall,5.0,No,Free Shipping,Yes,Yes,68,Bank Transfer,Fortnightly
196,24,Female,Earrings,Accessories,94,Nevada,XL,Silver,Summer,2.5,Yes,Store Pickup,Yes,Yes,60,Venmo,Fortnightly
197,69,Female,Jewelry,Clothing,57,Pennsylvania,S,Teal,Spring,3.0,No,2-Day Shipping,No,Yes,65,Bank Transfer,Every 3 Months
198,56,Male,Hat,Accessories,68,Minnesota,M,Teal,Spring,3.3,Yes,Next Day Air,No,No,99,Debit Card,Bi-Weekly
